Tid HomeOwner MaritalStatus AnnualIncome DefaultedBorrower 
1 true Married 1 ?
2 false Divorced 117 ?
3 false Single 158 ?
4 true Single 14 ?
5 false Single 177 ?
6 false Divorced 76 ?
7 true Married 180 ?
8 true Married 174 ?
9 true Single 7 ?
10 true Single 11 ?
11 false Married 75 ?
12 false Married 150 ?
13 false Single 45 ?
14 false Married 130 ?
15 true Divorced 164 ?
16 true Single 164 ?
17 false Divorced 68 ?
18 true Divorced 54 ?
19 true Single 167 ?
20 true Divorced 30 ?
21 true Divorced 78 ?
22 false Married 86 ?
23 false Married 84 ?
24 false Divorced 87 ?
25 false Single 33 ?
26 false Single 176 ?
27 true Single 158 ?
28 false Single 172 ?
29 false Married 30 ?
30 true Single 96 ?
31 true Single 131 ?
32 true Divorced 10 ?
33 true Divorced 97 ?
34 true Divorced 116 ?
35 false Married 23 ?
36 false Single 111 ?
37 false Single 44 ?
38 false Divorced 79 ?
39 false Married 110 ?
40 true Divorced 114 ?
41 true Single 76 ?
42 false Single 72 ?
43 true Single 96 ?
44 true Single 1 ?
45 false Divorced 172 ?
46 true Married 70 ?
47 true Divorced 191 ?
48 true Divorced 39 ?
49 true Married 151 ?
50 true Married 50 ?
