Tid HomeOwner MaritalStatus AnnualIncome DefaultedBorrower 
1 true Divorced 180 false
2 true Divorced 174 false
3 false Single 153 false
4 false Married 110 true
5 false Divorced 187 true
6 false Married 17 false
7 false Single 64 true
8 false Single 1 true
9 true Married 39 false
10 false Single 107 false
11 false Single 91 true
12 false Divorced 7 false
13 true Married 24 false
14 true Divorced 4 false
15 true Married 50 false
16 true Divorced 14 false
17 true Married 138 false
18 true Divorced 58 true
19 false Single 162 false
20 false Single 150 true
21 true Married 165 false
22 true Single 43 true
23 true Single 194 true
24 false Married 141 false
25 false Married 120 true
26 false Divorced 151 false
27 false Married 1 false
28 false Single 144 false
29 false Single 8 true
30 false Married 42 false
31 false Divorced 181 false
32 false Married 191 false
33 true Single 133 true
34 false Divorced 109 false
35 true Single 180 true
36 false Divorced 193 false
37 true Divorced 165 true
38 true Married 37 true
39 true Divorced 29 false
40 true Divorced 35 true
41 true Married 45 true
42 true Divorced 48 true
43 true Single 119 true
44 false Married 92 true
45 true Single 86 true
46 false Single 39 false
47 false Married 40 false
48 false Married 67 true
49 false Married 37 false
50 false Married 134 false
51 false Single 190 false
52 true Married 174 false
53 false Single 48 false
54 true Divorced 68 false
55 false Single 97 true
56 true Divorced 148 false
57 false Single 119 true
58 true Divorced 161 false
59 true Single 62 true
60 false Married 147 false
61 true Single 160 true
62 true Single 178 true
63 true Married 68 false
64 true Single 97 false
65 true Divorced 137 true
66 true Divorced 94 true
67 true Single 57 false
68 false Single 190 false
69 true Single 153 false
70 false Divorced 91 true
71 true Married 37 false
72 false Single 47 false
73 true Divorced 38 false
74 true Single 192 false
75 false Divorced 173 false
76 true Married 44 false
77 false Single 47 true
78 false Divorced 76 true
79 true Single 192 false
80 true Divorced 18 true
81 false Married 122 false
82 true Single 180 false
83 false Single 109 true
84 true Married 0 true
85 true Single 158 true
86 false Divorced 112 true
87 true Married 18 true
88 false Divorced 93 false
89 true Single 89 false
90 false Single 102 true
91 true Divorced 189 false
92 false Single 192 false
93 false Divorced 138 false
94 true Single 116 true
95 true Married 13 true
96 false Married 14 false
97 false Single 23 true
98 false Divorced 145 true
99 false Divorced 25 true
100 true Single 30 false
101 false Single 23 false
102 true Divorced 172 true
103 false Married 127 true
104 false Married 134 true
105 true Married 49 false
106 false Married 18 false
107 false Single 150 false
108 true Married 102 false
109 true Divorced 154 false
110 true Married 19 true
111 true Married 123 true
112 true Divorced 188 false
113 false Divorced 129 false
114 true Single 13 true
115 true Divorced 46 true
116 false Married 45 true
117 true Married 197 false
118 true Married 86 false
119 true Single 157 true
120 true Single 18 true
121 true Single 13 false
122 false Married 21 true
123 false Single 47 true
124 true Single 151 true
125 true Married 142 true
126 false Single 57 false
127 true Married 185 false
128 false Divorced 116 true
129 false Single 152 true
130 true Single 135 false
131 true Divorced 36 false
132 true Single 88 true
133 true Single 120 true
134 true Married 199 true
135 true Single 76 false
136 false Married 72 false
137 false Divorced 150 true
138 false Married 95 true
139 true Married 65 true
140 true Single 195 true
141 true Single 111 false
142 false Single 197 true
143 true Divorced 120 true
144 true Single 96 false
145 true Married 75 true
146 true Single 24 false
147 false Single 18 true
148 true Divorced 165 false
149 true Single 104 true
150 true Married 47 true
151 false Single 35 true
152 false Divorced 136 false
153 false Married 20 false
154 false Married 175 true
155 false Married 147 false
156 true Single 137 false
157 true Married 37 false
158 true Single 144 false
159 true Single 160 false
160 true Single 174 false
161 false Single 179 true
162 true Married 136 true
163 true Single 161 false
164 true Single 68 true
165 false Married 124 false
166 false Single 93 true
167 false Married 11 false
168 false Single 164 false
169 false Divorced 54 true
170 false Single 22 true
171 true Divorced 118 false
172 false Divorced 130 false
173 false Divorced 136 true
174 true Divorced 153 false
175 false Married 160 false
176 false Divorced 110 false
177 false Divorced 176 true
178 true Single 70 false
179 true Divorced 40 false
180 false Divorced 183 false
181 false Single 109 false
182 false Single 66 true
183 false Single 44 true
184 true Single 130 false
185 true Divorced 37 false
186 false Single 59 true
187 true Single 170 false
188 true Married 70 true
189 false Single 95 true
190 true Divorced 154 true
191 false Single 129 true
192 false Married 42 true
193 false Divorced 9 true
194 false Married 43 false
195 false Divorced 48 false
196 false Married 35 false
197 false Married 162 true
198 true Divorced 13 false
199 true Married 5 false
200 true Married 162 false
201 false Single 24 true
202 false Married 7 true
203 true Divorced 54 true
204 false Single 20 true
205 false Single 66 false
206 true Married 80 true
207 false Single 11 false
208 false Single 119 false
209 true Divorced 103 false
210 true Married 198 true
211 false Single 185 false
212 true Married 179 true
213 true Married 36 false
214 false Divorced 71 false
215 false Divorced 159 true
216 true Divorced 21 true
217 false Single 144 true
218 false Divorced 2 false
219 true Single 59 true
220 false Single 125 false
221 true Single 123 true
222 false Married 174 false
223 true Single 149 true
224 true Divorced 192 false
225 false Married 153 true
226 true Single 112 false
227 true Divorced 34 true
228 false Married 53 false
229 false Married 115 false
230 true Single 192 true
231 true Divorced 97 true
232 false Divorced 107 false
233 true Married 37 false
234 true Married 156 true
235 false Divorced 65 false
236 true Divorced 168 true
237 false Married 24 false
238 true Single 194 true
239 false Married 88 true
240 true Divorced 171 true
241 false Single 88 true
242 true Married 33 false
243 false Single 36 true
244 true Single 114 true
245 false Divorced 70 false
246 true Single 31 false
247 false Divorced 92 false
248 true Divorced 115 false
249 true Single 87 true
250 false Married 140 false
251 false Single 143 false
252 false Divorced 158 true
253 false Divorced 105 false
254 false Single 36 true
255 false Married 11 true
256 false Divorced 193 false
257 false Married 140 false
258 true Single 96 true
259 true Single 190 false
260 true Divorced 9 false
261 false Single 22 false
262 true Married 109 true
263 false Single 144 false
264 false Married 111 false
265 false Divorced 85 true
266 false Married 90 false
267 false Divorced 198 true
268 true Married 103 false
269 false Divorced 63 true
270 true Divorced 126 true
271 true Married 119 false
272 false Single 153 false
273 false Married 132 true
274 false Divorced 54 false
275 false Married 50 true
276 false Divorced 75 false
277 true Single 10 false
278 false Divorced 26 false
279 true Single 156 true
280 false Single 172 false
281 false Divorced 183 true
282 false Married 151 false
283 false Divorced 181 false
284 true Divorced 138 false
285 true Divorced 170 true
